alpha,probe_mean,random_mean,diff,lo,hi,n_entities,excludes_zero
-2.0,-22.085304303467275,-22.023270195797085,-0.06203410767018891,-0.10246700681746083,-0.0013847589492810286,4,True
-1.0,-22.05424047112465,-22.023261185213922,-0.03097928591072705,-0.051097235207757365,-0.000802361965181575,4,True
-0.5,-22.038544765114786,-22.023067015483974,-0.01547774963080908,-0.025513469055295168,-0.0004241704940799451,4,True
0.0,-22.022748772799968,-22.022748772799968,-1.0658141036401502e-15,-2.0724163126336257e-15,0.0,4,False
0.5,-22.00684063285589,-22.0222997456789,0.015459112823010024,0.00048049688339268926,0.025444856782754915,4,True
1.0,-21.990826091170312,-22.021725953668355,0.03089986249804575,0.0010163009166728187,0.0508222368856277,4,True
2.0,-21.958471769839527,-22.020198192670943,0.06172642283141645,0.002253669500353439,0.10137492505212513,4,True
